close_time,symbol,side,entry_price,exit_price,qty,invested_notional,gross_pnl_usdt,fees_usdt,net_pnl_usdt,net_pnl_pct,dca_count,holding_time_sec,mfe_pct,mae_pct,exit_reason,tp_hit,smart_exit,manual_exit,hard_stop,entry_regime,exit_regime,entry_confidence,entry_risk_score,entry_success_prob,entry_tp_hit_prob,reward,final_outcome,exit_order_id,smart_exit_agree_count,smart_exit_required_agree,smart_exit_signals_fired,smart_exit_dca_distance_pct,entry_composite_score,entry_score_threshold,loss_budget_trigger_est_net_pnl
2026-08-21 21:12:22 UTC,SOLUSDT,LONG,92.4,92.3,0.43,39.732,-0.043,0.02779089,-0.07079089,-0.0017817097050236584,0,4.508788585662842,0.0,0.0010281385281385158,rr_stop_loss,False,False,False,False,SIDEWAYS,SIDEWAYS,0.3461063611454309,0.14043639740018515,0.5,1.2213887858170967e-27,-0.11206309498640882,loss,234388309029,,,,,0.6368100884736201,0.63,
2026-08-21 23:52:00 UTC,SOLUSDT,SHORT,93.43,93.58,0.42,39.2406,-0.06299999,0.02749992,-0.09049991,-0.0023062825237126854,0,61.90119767189026,0.0005886760141282973,0.0015519640372469422,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.49316988699151354,0.12499999999999999,0.5,2.8851075346000633e-18,-0.2678259228961821,loss,234437655006,,,,,0.7676380409048799,0.75,
2026-08-22 04:33:50 UTC,SOLUSDT,LONG,98.63,99.17,0.4,39.452,0.216,0.027724400000000003,0.1882756,0.004772270100375139,0,141.3193018436432,0.005525702119030883,0.000659028693095384,take_profit,True,False,False,False,WEAK_TREND,WEAK_TREND,0.4009327632857188,0.13682516097077757,0.5,2.2894475921563953e-34,0.12772941436207805,win,234509080921,,,,,0.756670186323769,0.75,
2026-08-22 04:47:32 UTC,SOLUSDT,SHORT,99.82,100.75,0.4,39.928,-0.372,0.028135600000000004,-0.4001356,-0.010021428571428572,0,143.57624697685242,0.0048086555800439775,0.009266680024043392,max_trade_net_loss,False,False,False,False,STRONG_TREND,STRONG_TREND,0.7710165476175662,0.16358621934070852,0.5,1.0,-0.2526882288118625,loss,234514365305,,,,,0.7931256533182345,0.75,-0.40013560000000276
2026-08-22 05:11:45 UTC,SOLUSDT,SHORT,88.71,88.811777,0.45,39.9195,-0.0458,0.03994238,-0.08574238,-0.0021478821127519135,0,9.825893878936768,0.008567241573666904,0.0050163453951077375,max_trade_net_loss,False,False,False,False,STRONG_TREND,STRONG_TREND,0.7823942909849991,0.12910820913636586,0.5,1.0,-0.1899176430813736,loss,234521730296,,,,,0.8408011318201624,0.75,-0.5036512400000005
2026-08-22 05:23:45 UTC,SOLUSDT,SHORT,92.73,93.57,0.43,39.8739,-0.3612,0.028092330000000002,-0.38929233,-0.00976308637981236,0,51.534061908721924,0.0007009597756930005,0.009328157014989699,max_trade_net_loss,False,False,False,False,STRONG_TREND,STRONG_TREND,0.5815329119585303,0.1261633769209247,0.5,0.9719551407704385,-0.3530446565297093,loss,234524384938,,,,,0.7538107379393177,0.75,-0.4021987799999958
2026-08-22 06:34:11 UTC,SOLUSDT,SHORT,93.31,93.49,0.42,39.1902,-0.0756,0.02747093,-0.10307093,-0.0026300179636745925,0,79.09556674957275,0.00037509377344332426,0.0018754688672167738,rr_stop_loss,False,False,False,False,SIDEWAYS,SIDEWAYS,0.32199185443574524,0.1258013404239818,0.5,0.5,-0.27138470663584235,loss,234540733398,,,,,0.6303074893095246,0.63,
2026-08-22 08:26:59 UTC,SOLUSDT,SHORT,94.02,93.89,0.42,39.4884,0.054599999999999996,0.027614580000000003,0.026985419999999993,0.000683375877472878,0,37.6628999710083,0.002286747500531687,0.0005849819187406149,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.3217919436473798,0.1294252993777126,0.5,0.5,0.039659835759836407,win,234560459915,,,,,0.6300663181253284,0.63,
2026-08-22 08:33:38 UTC,SOLUSDT,SHORT,93.39,93.23,0.42,39.2238,0.0672,0.027423049999999997,0.03977695,0.001014102407211948,0,120.19833540916443,0.0029446407538279416,0.001017239533140581,profit_lock,False,False,False,False,WEAK_TREND,WEAK_TREND,0.5169858624443404,0.12881122283490135,0.5,0.5,0.04250008369918437,win,234561776899,,,,,0.753276961382362,0.75,
2026-08-22 16:41:49 UTC,SOLUSDT,LONG,94.52,94.44,0.42,39.6984,-0.0336,0.02777207,-0.06137207,-0.0015459582753964895,0,4.372365236282349,5.289885738478273e-05,0.0007934828607702375,rr_stop_loss,False,False,False,False,WEAK_TREND,WEAK_TREND,0.4028953155954827,0.12499999999999999,0.5,0.0103621266542787,-0.25948078688309884,loss,234658465912,,,,,0.7646185946786448,0.75,
