close_time,symbol,side,entry_price,exit_price,qty,invested_notional,gross_pnl_usdt,fees_usdt,net_pnl_usdt,net_pnl_pct,dca_count,holding_time_sec,mfe_pct,mae_pct,exit_reason,tp_hit,smart_exit,manual_exit,hard_stop,entry_regime,exit_regime,entry_confidence,entry_risk_score,entry_success_prob,entry_tp_hit_prob,reward,final_outcome,exit_order_id,smart_exit_agree_count,smart_exit_required_agree,smart_exit_signals_fired,smart_exit_dca_distance_pct,entry_composite_score,entry_score_threshold,loss_budget_trigger_est_net_pnl
2026-08-21 06:49:43 UTC,ETHUSDT,LONG,2377.87,2375.31,0.016,38.04592,-0.04096,0.02661165,-0.06757165000000001,-0.0017760550934239469,0,10.535781383514404,0.0,0.0010702855917270806,orderflow_smart_exit,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6379150353873824,0.13735171067004606,0.5,0.5,-0.11247891101069477,loss,8389766258196736554,,,,,0.7245069250827125,0.63,
2026-08-21 07:15:43 UTC,ETHUSDT,LONG,2380.19,2387.91,0.016,38.083040000000004,0.12352,0.02671988,0.09680012,0.002541817039816149,0,67.64498400688171,0.005997420374003794,9.453026859196494e-05,profit_lock,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6404829470295383,0.1278409090909097,0.5,0.5,0.06516927267263516,win,8389766258220110816,,,,,0.6521051524370833,0.63,
2026-08-21 07:17:26 UTC,ETHUSDT,LONG,2392.84,2390.82,0.016,38.28544,-0.03232,0.02678364,-0.05910364,-0.0015437628508383342,0,16.59549903869629,0.0011806054729943574,0.0008211999130740649,orderflow_smart_exit,False,False,False,False,WEAK_TREND,WEAK_TREND,0.6402708398307224,0.12791168261943558,0.5,0.5,-0.25975576198157896,loss,8389766258222239648,,,,,0.7646493235549567,0.75,
2026-08-21 07:35:59 UTC,ETHUSDT,SHORT,2373.98,2375.97,0.016,37.98368,-0.03184,0.02660448,-0.05844448,-0.0015386734513348891,0,12.79694938659668,8.635287576134898e-05,0.0008909089377333577,orderflow_smart_exit,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6355569379285898,0.13432053539788794,0.5,0.5,-0.26044776282866844,loss,8389766258239423059,,,,,0.674530862713135,0.63,
2026-08-21 08:09:10 UTC,ETHUSDT,LONG,2384.41,2383.35,0.016,38.15056,-0.01696,0.03814207,-0.05510207,-0.0014443318787456857,0,46.67472267150879,0.0011973611920770644,0.00037954881920464407,orderflow_smart_exit,False,False,False,False,SIDEWAYS,SIDEWAYS,0.6401301762037405,0.1291474955417019,0.5,0.5,-0.25523982007079216,loss,8389766258264132473,,,,,0.6437862863701895,0.63,
2026-08-21 08:36:16 UTC,ETHUSDT,LONG,2392.68,2397.56,0.016,38.28288,0.07808,0.02683705,0.051242949999999995,0.0013385343526923783,0,277.633558511734,0.0040686594112042266,0.0007919989300700395,profit_lock,False,False,False,False,SIDEWAYS,WEAK_TREND,0.639204020643513,0.13164979378324213,0.5,0.5,0.042766532340126916,win,8389766258289152036,,,,,0.6861663872315313,0.63,
2026-08-21 08:39:39 UTC,ETHUSDT,LONG,2407.27,2405.55,0.016,38.51632,-0.02752,0.02694765,-0.05446765,-0.0014141447054131858,0,81.24233412742615,0.0020022681294579185,0.0012109152691638094,orderflow_smart_exit,False,False,False,False,WEAK_TREND,WEAK_TREND,0.6387826243511047,0.13394502540235417,0.5,0.5,-0.21946400668128005,loss,8389766258293023034,,,,,0.7797862184454585,0.75,
2026-08-21 11:20:09 UTC,ETHUSDT,SHORT,2374.15,2377.43,0.033,78.34695,-0.10824,0.05489697,-0.16313697,-0.0020822376620915043,0,50.71630358695984,0.0004612176989658614,0.0014089252995808184,orderflow_smart_exit,False,False,False,False,WEAK_TREND,WEAK_TREND,0.49687163968623804,0.13394277709646196,0.5,1.8660119750629455e-52,-0.2661714906578997,loss,8389766258453601867,,,,,0.7575593791177145,0.75,
2026-08-21 11:48:38 UTC,ETHUSDT,SHORT,2362.59,2367.08,0.033,77.96547000000001,-0.14817,0.054649909999999996,-0.20281991,-0.0026014068792248666,0,44.78990030288696,0.0005565925530879478,0.001974527954490607,rr_stop_loss,False,False,False,False,SIDEWAYS,SIDEWAYS,0.49717535732570245,0.1324974617671565,0.5,1.1308414383708064e-46,-0.27234668642413096,loss,8389766258481337168,,,,,0.6375206784574797,0.63,
2026-08-21 12:24:21 UTC,ETHUSDT,SHORT,2371.09,2373.22,0.033,78.24597000000001,-0.07029,0.05480732,-0.12509732,-0.0015987701347430416,0,35.87762141227722,0.00034794124221342,0.0008962122905499158,rr_stop_loss,False,False,False,False,SIDEWAYS,SIDEWAYS,0.4950885222766453,0.14098770946985872,0.5,6.903535847740285e-23,-0.2605608930402422,loss,8389766258514552469,,,,,0.6814771712095007,0.63,
